identifier	label	val_fold
7fc0d06c-9b50-4035-a72b-0c1cbb469536	0	1
20e06757-585f-47d0-8a21-3ac855219dfc	0	1
1e37c273-8490-43eb-9e80-f0fa295bc56f	0	1
e6ce57de-b865-40eb-8bf5-c5c4f445d7a0	1	1
c2d8847f-fc42-40f6-a863-bece76d14339	0	1
69cd3f56-b3ff-41da-a2d1-77865564ebce	0	1
2debbb5c-9147-4e73-9a5b-fd35b2602980	0	1
1d5dc5fa-9410-4ec0-b0a6-350d7f765e17	1	1
7509a164-34c0-4bdd-bb86-3d06e79b85b4	1	1
49b3dd1e-20e3-4077-800e-3840c054fd1c	0	1
0ecd9f97-1d15-4292-8c30-18673aeaac95	0	1
f388b06a-74f0-4498-8132-21101179cba9	0	1
36378d73-df19-4e9e-9ba8-dd8dafa98150	0	1
3fe81e4b-3e0f-4449-b321-2cb46cc4d6ad	0	1
52bbaeeb-05bc-4c9e-b460-aa6cd2fc9cc4	0	1
4759765b-0422-475b-a320-4caf50309b9d	1	1
382b9f6f-2e48-451c-a769-fcbb55804f3d	0	1
cc177e00-5139-4282-a027-ddfea8a53a96	1	1
7004d857-9f24-4af5-8db7-25882009270b	0	1
ce9e044e-42ff-42b3-8be8-10ac492a3805	1	1
99e6e355-9b72-485c-931d-e28b9a769ffd	0	1
08b1ff98-7958-4993-812e-aad0e0d12451	0	1
7a4011f0-e100-49d8-9fa3-0008111a9bfd	1	1
7480b19c-dfbe-49f9-a694-3fca421c4fc5	0	1
e18ed9a2-8fd7-4ae3-84d1-42351c62f5fb	0	1
d7927009-de3b-4cca-a324-7e1e4b104da2	0	1
0c7f5982-b5c4-4213-82c4-e227ccfc5e34	0	1
67edd22c-1709-42f7-8297-f7294fdc1b05	0	1
d42762bb-d2de-4c6b-bf0b-78c3a61aeb2e	1	1
43a8369d-44f8-4326-a75b-9deb5889c114	0	1
d9b57000-64d1-4c63-af29-6c109b7dd41d	0	1
a825ffac-5429-4ea9-92f4-8d49ed8231bc	0	1
4e82cfac-2b3b-47dc-b710-c7c7afa86867	0	1
c1a991a3-1955-4b11-92c2-9b22fbe146c9	0	1
d56f9d37-4760-48b9-97a9-e6ed0bdfd4e5	0	1
eea06227-a8ea-45a6-8890-9e6e240fe9ef	0	1
db43a5f5-2500-4a7f-9e95-495fc7b5923c	0	1
